k,vanilla_full_top_k_pts,vanilla_k_clusters,vanilla_k_total_pts,vanilla_k_sizes,gdbscan_clusters,gdbscan_total_pts,gdbscan_sizes
1,137,1,42,[42],1,121,[121]
2,258,2,51,"[42, 9]",2,258,"[137, 121]"
3,317,3,57,"[42, 9, 6]",3,300,"[137, 121, 42]"
4,360,4,178,"[121, 42, 9, 6]",4,359,"[137, 121, 59, 42]"
5,402,5,184,"[121, 42, 9, 6, 6]",5,391,"[137, 121, 59, 42, 32]"
6,435,6,199,"[121, 42, 15, 9, 6, 6]",6,424,"[137, 121, 59, 42, 33, 32]"
7,467,7,336,"[137, 121, 42, 15, 9, 6, 6]",7,467,"[137, 121, 59, 43, 42, 33, 32]"
8,490,8,379,"[137, 121, 43, 42, 15, 9, 6, 6]",8,486,"[137, 121, 59, 43, 42, 33, 32, 19]"
9,509,9,394,"[137, 121, 43, 42, 15, 15, 9, 6, 6]",9,497,"[137, 121, 59, 43, 42, 33, 32, 19, 11]"
10,524,10,399,"[137, 121, 43, 42, 15, 15, 9, 6, 6, 5]",10,512,"[137, 121, 59, 43, 42, 33, 32, 19, 15, 11]"
